127.0.0.1 - - [13/Oct/2014:22:56:16 -0300] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:56:19 -0300] "GET /TCC-GamificationJava/ HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:16 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:15 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:16 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:16 -0300] "GET /TCC-GamificationJava/resources/html/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:16 -0300] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:21 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:21 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:57:21 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:00 -0300] "POST /TCC-GamificationJava/usuario/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:00 -0300] "GET /TCC-GamificationJava/resources/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:01 -0300] "GET /TCC-GamificationJava/resources/ HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:01 -0300] "GET /TCC-GamificationJava/usuario/teste2 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:00 -0300] "GET /TCC-GamificationJava/usuario HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:00 -0300] "GET /TCC-GamificationJava/progresso/nivel/51 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:01 -0300] "GET /TCC-GamificationJava/resources/imagens/nivel/javaman.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:01 -0300] "GET /TCC-GamificationJava/resources/imagens/badge/conhecendo_java/primeiro_programa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:01 -0300] "GET /TCC-GamificationJava/resources/imagens/badge/diagrama_de_caso_de_uso/primeiro_diagrama.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:03 -0300] "GET /TCC-GamificationJava/resources/html/modulos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:22:58:09 -0300] "GET /TCC-GamificationJava/modulo/assunto/exercicio HTTP/1.1" 200 7620
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:06 -0300] "GET /TCC-GamificationJava/resources/html/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:06 -0300] "GET /TCC-GamificationJava/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:06 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/angular-resource.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/ui-bootstrap-tpls-0.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/exercicio-controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/rotas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:06 -0300] "GET /TCC-GamificationJava/resources/ace/src-noconflict/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/app.js HTTP/1.1" 200 6353
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/js/angular.min.js.map HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [13/Oct/2014:23:04:07 -0300] "GET /TCC-GamificationJava/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
